n,ms
1024,0.005
2048,0.005
4096,0.005
8192,0.005
16384,0.005
32768,0.005
65536,0.007
131072,0.010
262144,0.014
524288,0.026
1048576,0.047
2097152,0.089
4194304,0.180
8388608,0.416
16777216,0.824
33554432,1.637
67108864,3.254
134217728,6.174
268435456,12.980
